history,scenario,attempt_budget,policy,eligible_failures,distinct_failed_questions,evaluated_questions,evaluated_episodes,next_repeat_rate,next_switch_rate,next_stop_rate,mean_probability_drop,mean_first_arm_observations,mean_initial_logit_bonus,valid_bootstrap_draws,recovery,recovery_low,recovery_high,mean_cost,mean_cost_low,mean_cost_high,recovery_delta,recovery_delta_low,recovery_delta_high,cost_delta,cost_delta_low,cost_delta_high
1000,arm_shift,5,original,122,54,60,180,0.9508196721311475,0.04918032786885246,0.0,0.01072326974126547,1674.2459016393443,6.607557804832215e-06,2000,0.4016393442622951,0.28568821689259644,0.5135135135135135,6.146822381615652,5.562755599372264,6.773571346091301,0.0,0.0,0.0,0.0,0.0,0.0
1000,arm_shift,5,discount_after_failure,122,54,60,180,0.9426229508196722,0.05737704918032787,0.0,0.012259383564000092,1674.2459016393443,6.607557804832215e-06,2000,0.4016393442622951,0.28568821689259644,0.5135135135135135,6.125407561836698,5.553487443971039,6.754296018900323,0.0,0.0,0.0,-0.02141481977895404,-0.07190664256052458,0.0
1000,arm_shift,5,repeat_initial,122,54,60,180,1.0,0.0,0.0,0.01072326974126547,1674.2459016393443,6.607557804832215e-06,2000,0.3524590163934426,0.24031007751937986,0.4700854700854701,6.217129212790359,5.583634850716585,6.865823360239162,-0.04918032786885246,-0.09449667390714092,-0.015503875968992248,0.0703068311747052,-0.10056123619225826,0.25907126952805415
1000,arm_shift,5,switch_on_failure,122,54,60,180,0.0,1.0,0.0,0.01072326974126547,1674.2459016393443,6.607557804832215e-06,2000,0.5901639344262295,0.4677287149656266,0.7119249394673121,9.030937380985375,8.246883166844404,9.747260396092669,0.1885245901639344,0.034420689655172414,0.33600336134453784,2.8841149993697197,1.8529153572055042,3.8873311494776805
1000,id,3,original,117,52,60,180,0.9572649572649573,0.042735042735042736,0.0,0.009299697801269756,1830.6410256410256,6.606334844855193e-06,2000,0.29914529914529914,0.21137279033340794,0.401792617820324,4.097135829996196,3.5945768661107933,4.644504231214184,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,3,discount_after_failure,117,52,60,180,0.9572649572649573,0.042735042735042736,0.0,0.010249882846688825,1830.6410256410256,6.606334844855193e-06,2000,0.29914529914529914,0.21137279033340794,0.401792617820324,4.13190070650643,3.6331863784943983,4.681463001328221,0.0,0.0,0.0,0.03476487651023362,0.0,0.098289035772145
1000,id,3,repeat_initial,117,52,60,180,1.0,0.0,0.0,0.009299697801269756,1830.6410256410256,6.606334844855193e-06,2000,0.28205128205128205,0.192,0.38656056762327573,4.274892174981368,3.720143308193971,4.8760249508167925,-0.017094017094017096,-0.0423728813559322,0.0,0.1777563449851728,0.029718012738828875,0.36054742199528894
1000,id,3,switch_on_failure,117,52,60,180,0.0,1.0,0.0,0.009299697801269756,1830.6410256410256,6.606334844855193e-06,2000,0.4700854700854701,0.36361803519061586,0.580658946787979,6.400537771355276,5.944212349971589,6.858885745812436,0.17094017094017094,0.06033193339227822,0.28321826365578257,2.3034019413590783,1.765798681114828,2.7797363371463635
1000,id,5,original,117,52,60,180,0.9572649572649573,0.042735042735042736,0.0,0.009299697801269756,1830.6410256410256,6.606334844855193e-06,2000,0.42735042735042733,0.3206051285851923,0.5420560747663551,5.447043374762952,4.887587643976463,6.027176354031871,0.0,0.0,0.0,0.0,0.0,0.0
1000,id,5,discount_after_failure,117,52,60,180,0.9572649572649573,0.042735042735042736,0.0,0.010249882846688825,1830.6410256410256,6.606334844855193e-06,2000,0.42735042735042733,0.3206051285851923,0.5420560747663551,5.437919523893744,4.899490715873131,5.997608170557072,0.0,0.0,0.0,-0.009123850869208,-0.10670702941889879,0.09385546334939741
1000,id,5,repeat_initial,117,52,60,180,1.0,0.0,0.0,0.009299697801269756,1830.6410256410256,6.606334844855193e-06,2000,0.4017094017094017,0.29133858267716534,0.5178652597402598,5.519733851562124,4.937921952498596,6.120645242422319,-0.02564102564102564,-0.057978049810046436,0.0,0.07269047679917179,-0.043318992878984414,0.2061719844506946
1000,id,5,switch_on_failure,117,52,60,180,0.0,1.0,0.0,0.009299697801269756,1830.6410256410256,6.606334844855193e-06,2000,0.5299145299145299,0.4166313559322034,0.6521739130434783,8.409219702573951,7.680206140577173,9.109876404523824,0.10256410256410256,-0.027285353535353534,0.2377146760343481,2.962176327810998,2.2324310007332606,3.6640233488451104
