history,scenario,attempt_budget,policy,unique_questions,seeds,success,success_low,success_high,success_delta_vs_original,success_delta_vs_original_low,success_delta_vs_original_high,cost_delta_vs_original,cost_delta_vs_original_low,cost_delta_vs_original_high
50,arm_shift,2,switch_on_failure,60,3,0.561111111111111,0.4611111111111111,0.6666666666666665,0.03888888888888888,-0.016666666666666666,0.1,0.28156971196726477,0.14053819671457954,0.43235880990344444
50,arm_shift,3,original,60,3,0.6166666666666667,0.5166666666666667,0.7166666666666667,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,3,ewma,60,3,0.6277777777777779,0.5277777777777778,0.7277777777777779,0.011111111111111112,-0.027777777777777776,0.05000000000000001,-0.04976957686395248,-0.24170094986996657,0.12389640226389474
50,arm_shift,3,repeat_initial,60,3,0.5333333333333333,0.4388888888888889,0.6333333333333332,-0.08333333333333333,-0.13888888888888887,-0.03333333333333333,-0.0389831707563404,-0.20895474540042852,0.10109449258644473
50,arm_shift,3,switch_on_failure,60,3,0.6611111111111111,0.5665277777777776,0.7555555555555554,0.04444444444444444,-0.016666666666666666,0.10555555555555556,1.505720579880306,1.0922334425388167,1.9178434429358373
50,arm_shift,5,original,60,3,0.6999999999999998,0.6000000000000001,0.7833333333333333,0.0,0.0,0.0,0.0,0.0,0.0
50,arm_shift,5,ewma,60,3,0.711111111111111,0.611111111111111,0.7999999999999999,0.01111111111111111,-0.01111111111111111,0.03333333333333333,-0.11880578794172791,-0.3824747165900167,0.12266666315741583
50,arm_shift,5,repeat_initial,60,3,0.6,0.4944444444444444,0.6944444444444444,-0.1,-0.16111111111111112,-0.03888888888888888,0.0014725685944050363,-0.29835691091013344,0.3092803415108143
50,arm_shift,5,switch_on_failure,60,3,0.711111111111111,0.6111111111111113,0.7944444444444445,0.011111111111111112,-0.05,0.07222222222222223,1.765952972736987,1.2519307577047876,2.2887722683709155
50,id,1,original,60,3,0.41666666666666663,0.3277777777777777,0.5055555555555558,0.0,0.0,0.0,0.0,0.0,0.0
50,id,1,ewma,60,3,0.4444444444444444,0.3555555555555555,0.5279166666666661,0.027777777777777776,-0.011111111111111112,0.06666666666666667,0.040132038251475266,-0.034975080899420495,0.10577136974105522
50,id,1,repeat_initial,60,3,0.41666666666666663,0.3277777777777777,0.5055555555555558,0.0,0.0,0.0,0.0,0.0,0.0
50,id,1,switch_on_failure,60,3,0.41666666666666663,0.3277777777777777,0.5055555555555558,0.0,0.0,0.0,0.0,0.0,0.0
50,id,2,original,60,3,0.5555555555555556,0.4500000000000001,0.6499999999999999,0.0,0.0,0.0,0.0,0.0,0.0
50,id,2,ewma,60,3,0.5499999999999999,0.4500000000000001,0.638888888888889,-0.005555555555555555,-0.03888888888888888,0.027777777777777776,-0.0852090634340345,-0.21048463306392381,0.02754238835840834
50,id,2,repeat_initial,60,3,0.5166666666666667,0.41666666666666674,0.611111111111111,-0.03888888888888888,-0.08333333333333333,0.005555555555555555,-0.04989424196856436,-0.13729069005135444,0.03244795568461522
50,id,2,switch_on_failure,60,3,0.5722222222222222,0.4666666666666669,0.6666666666666667,0.016666666666666666,-0.016666666666666666,0.05,0.18021617917279092,0.07924921967571064,0.29842939888068704
50,id,3,original,60,3,0.6444444444444444,0.5498611111111111,0.7444444444444442,0.0,0.0,0.0,0.0,0.0,0.0
50,id,3,ewma,60,3,0.5999999999999999,0.5054166666666665,0.6944444444444444,-0.04444444444444444,-0.07777777777777777,-0.01111111111111111,-0.09579677343667393,-0.2183936628223944,0.021478971431887203
50,id,3,repeat_initial,60,3,0.5944444444444444,0.49444444444444446,0.6944444444444443,-0.05,-0.1,-0.005555555555555555,-0.07134034784928397,-0.2201961441419564,0.07268279429666871
50,id,3,switch_on_failure,60,3,0.6611111111111111,0.5666666666666667,0.75,0.016666666666666666,-0.044444444444444446,0.07777777777777778,1.403416343475086,1.0762641421067038,1.7448341217891195
50,id,5,original,60,3,0.711111111111111,0.6111111111111112,0.8111111111111108,0.0,0.0,0.0,0.0,0.0,0.0
50,id,5,ewma,60,3,0.7,0.6111111111111112,0.7888888888888889,-0.01111111111111111,-0.05555555555555555,0.027777777777777776,-0.026367500431830136,-0.20440570540717942,0.14587771225347845
50,id,5,repeat_initial,60,3,0.6833333333333332,0.5888888888888887,0.7777777777777776,-0.027777777777777776,-0.09444444444444441,0.03888888888888888,-0.22915457189084293,-0.5011789035750239,0.02988471033301976
50,id,5,switch_on_failure,60,3,0.6999999999999998,0.6055555555555557,0.7888888888888886,-0.011111111111111112,-0.08333333333333331,0.061111111111111116,1.7783011952816694,1.3401570029597,2.244963300174728
