history,scenario,mode,attempt_budget,policy,requests,seeds,success_rate,success_rate_seed_sd,mean_cost,mean_attempts,cost_per_success,repeat_after_failure,retry_opportunities,first_failures,recovery_given_first_failure
200,id,episodic,3,ewma,180,3,0.5722222222222222,0.07876359377087679,2.5573684647095885,2.1555555555555554,4.469187608230355,0.4182692307692308,208,115,0.33043478260869563
200,id,episodic,3,repeat_initial,180,3,0.5388888888888889,0.05357583756107195,2.5990935022273556,2.1777777777777776,4.823060107226025,1.0,212,113,0.26548672566371684
200,id,episodic,3,switch_on_failure,180,3,0.6611111111111111,0.048112522432468836,4.100425126956049,2.061111111111111,6.202323721446132,0.0,191,113,0.46017699115044247
200,id,episodic,5,original,180,3,0.6833333333333333,0.033333333333333326,3.6090481604388276,2.911111111111111,5.28153389332512,0.752906976744186,344,113,0.49557522123893805
200,id,episodic,5,ewma,180,3,0.6944444444444444,0.09477067838462214,3.5103735353592223,2.95,5.054937890917286,0.36182336182336183,351,115,0.5217391304347826
200,id,episodic,5,repeat_initial,180,3,0.6222222222222222,0.00962250448649373,3.5249072586715124,3.0277777777777777,5.665029522864935,1.0,365,113,0.39823008849557523
200,id,episodic,5,switch_on_failure,180,3,0.6777777777777778,0.034694433324435545,5.424797802842087,2.3444444444444446,8.003800036980138,0.0,242,113,0.48672566371681414
200,arm_shift,episodic,1,original,180,3,0.3888888888888889,0.025458753860865796,1.243186358853487,1.0,3.1967649227661123,,0,110,0.0
200,arm_shift,episodic,1,ewma,180,3,0.3888888888888889,0.034694433324435565,1.1794258902511718,1.0,3.0328094320744463,,0,110,0.0
200,arm_shift,episodic,1,repeat_initial,180,3,0.3888888888888889,0.025458753860865796,1.243186358853487,1.0,3.1967649227661123,,0,110,0.0
200,arm_shift,episodic,1,switch_on_failure,180,3,0.3888888888888889,0.025458753860865796,1.243186358853487,1.0,3.1967649227661123,,0,110,0.0
200,arm_shift,episodic,2,original,180,3,0.5222222222222223,0.025458753860865796,2.0368328236627593,1.6111111111111112,3.9003181729712453,0.7909090909090909,110,110,0.21818181818181817
200,arm_shift,episodic,2,ewma,180,3,0.5666666666666667,0.016666666666666663,1.9042576360285188,1.6111111111111112,3.360454651815037,0.44545454545454544,110,110,0.2909090909090909
200,arm_shift,episodic,2,repeat_initial,180,3,0.5111111111111111,0.02545875386086578,2.0147369590570525,1.6111111111111112,3.9418766590246714,1.0,110,110,0.2
200,arm_shift,episodic,2,switch_on_failure,180,3,0.5444444444444444,0.048112522432468774,2.342035267887051,1.6111111111111112,4.301697430812957,0.0,110,110,0.2545454545454545
200,arm_shift,episodic,3,original,180,3,0.5888888888888889,0.01924500897298752,2.657360214029355,2.088888888888889,4.512498476653627,0.75,196,110,0.32727272727272727
200,arm_shift,episodic,3,ewma,180,3,0.6444444444444445,0.025458753860865747,2.4159318510208148,2.0444444444444443,3.748859768825407,0.3776595744680851,188,110,0.41818181818181815
200,arm_shift,episodic,3,repeat_initial,180,3,0.5555555555555556,0.01924500897298752,2.6387940848903435,2.1,4.749829352802623,1.0,198,110,0.2727272727272727
200,arm_shift,episodic,3,switch_on_failure,180,3,0.6,0.05773502691896256,4.05794962184088,2.05,6.763249369734806,0.0,189,110,0.34545454545454546
200,arm_shift,episodic,5,original,180,3,0.6777777777777778,0.009622504486493794,3.626424888188275,2.8444444444444446,5.350462949785985,0.7048192771084337,332,110,0.4727272727272727
200,arm_shift,episodic,5,ewma,180,3,0.7444444444444445,0.009622504486493794,3.208954778427743,2.7111111111111112,4.310536269529809,0.3409090909090909,308,110,0.5818181818181818
200,arm_shift,episodic,5,repeat_initial,180,3,0.6166666666666667,0.016666666666666663,3.6217497106082104,2.911111111111111,5.8731076388241314,1.0,344,110,0.37272727272727274
200,arm_shift,episodic,5,switch_on_failure,180,3,0.6944444444444444,0.06309898162000308,5.520081422308304,2.361111111111111,7.948917248123966,0.0,245,110,0.5
1000,id,episodic,1,original,180,3,0.35,0.060092521257733164,1.5255700574313935,1.0,4.35877159266113,,0,117,0.0
1000,id,episodic,1,ewma,180,3,0.3888888888888889,0.10715167512214395,1.2400768954064976,1.0,3.1887691596167116,,0,110,0.0
1000,id,episodic,1,repeat_initial,180,3,0.35,0.060092521257733164,1.5255700574313935,1.0,4.35877159266113,,0,117,0.0
1000,id,episodic,1,switch_on_failure,180,3,0.35,0.060092521257733164,1.5255700574313935,1.0,4.35877159266113,,0,117,0.0
1000,id,episodic,2,original,180,3,0.4777777777777778,0.06735753140545636,2.430619478778978,1.65,5.087343095118796,0.9230769230769231,117,117,0.19658119658119658
1000,id,episodic,2,ewma,180,3,0.55,0.10408329997330662,2.0230325211243647,1.6111111111111112,3.67824094749885,0.42727272727272725,110,110,0.2636363636363636
1000,id,episodic,2,repeat_initial,180,3,0.4666666666666667,0.060092521257733164,2.5047385345308752,1.65,5.367296859709023,1.0,117,117,0.1794871794871795
1000,id,episodic,2,switch_on_failure,180,3,0.5611111111111111,0.01924500897298752,3.5639413580190857,1.65,6.351578657855805,0.0,117,117,0.3247863247863248
1000,id,episodic,3,original,180,3,0.5666666666666667,0.028867513459481253,3.165924553166768,2.172222222222222,5.586925682059008,0.909952606635071,211,117,0.3333333333333333
1000,id,episodic,3,ewma,180,3,0.6333333333333333,0.08660254037844388,2.5867531557906007,2.061111111111111,4.084347088090428,0.33507853403141363,191,110,0.4
1000,id,episodic,3,repeat_initial,180,3,0.55,0.033333333333333326,3.2911905474294803,2.183333333333333,5.983982813508152,1.0,213,117,0.3076923076923077
