history,scenario,attempt_budget,policy,unique_questions,paired_episodes,success_delta,success_delta_low,success_delta_high,cost_delta,cost_delta_low,cost_delta_high
1000,id,1,ewma,60,180,-0.09444444444444446,-0.1444444444444444,-0.04444444444444444,-0.13646476159948273,-0.16173601374753518,-0.11119350945143039
1000,id,1,original,60,180,-2.7755575615628915e-18,-0.05,0.05,-0.061815681619694036,-0.18363410606717329,0.05931014854352158
1000,id,1,repeat_initial,60,180,-2.7755575615628915e-18,-0.05,0.05,-0.061815681619694036,-0.18547507782843198,0.05833290393095591
1000,id,1,switch_on_failure,60,180,-2.7755575615628915e-18,-0.05,0.05,-0.061815681619694036,-0.1778883696522172,0.06035658909955233
1000,id,2,ewma,60,180,-0.02222222222222222,-0.061250000000000006,0.02222222222222222,-0.031911816295817345,-0.09960169279945401,0.03527675508187422
1000,id,2,original,60,180,-0.022222222222222223,-0.07222222222222222,0.02222222222222222,-0.10120324669185805,-0.3311700315871654,0.1205379571207279
1000,id,2,repeat_initial,60,180,-0.022222222222222223,-0.07222222222222222,0.02222222222222222,-0.07568190825344474,-0.31203096115682644,0.15951792290335853
1000,id,2,switch_on_failure,60,180,-0.011111111111111112,-0.06666666666666667,0.03333333333333333,0.1562405240773565,-0.1353308536173695,0.45552841047706705
1000,id,3,ewma,60,180,-0.03888888888888889,-0.07777777777777777,0.0,-0.029906595792037013,-0.13351512831333787,0.06608296320040231
1000,id,3,original,60,180,0.02222222222222222,-0.027777777777777776,0.07222222222222222,-0.0915647716486145,-0.4316714681129495,0.21090580683177476
1000,id,3,repeat_initial,60,180,0.016666666666666666,-0.033472222222222216,0.06666666666666667,-0.08184040162626431,-0.4388249995598461,0.2783090069429814
1000,id,3,switch_on_failure,60,180,-0.011111111111111112,-0.05555555555555555,0.027777777777777776,0.11829618484106633,-0.2093883178899819,0.4378657344652881
1000,id,5,ewma,60,180,-0.05555555555555556,-0.09999999999999996,-0.016666666666666666,0.026150264889463645,-0.12846894484065866,0.16863515367150467
1000,id,5,original,60,180,0.02222222222222222,-0.02222222222222222,0.06666666666666667,-0.010334366068279177,-0.33739771927967294,0.3245708060336958
1000,id,5,repeat_initial,60,180,-0.0055555555555555575,-0.055555555555555546,0.04444444444444444,-0.06062078965593221,-0.4139811268937214,0.287112616217048
1000,id,5,switch_on_failure,60,180,-0.03888888888888889,-0.07777777777777778,-0.005555555555555555,-0.47721171578432037,-0.8565451925208327,-0.11169981738780287
200,arm_shift,1,ewma,60,180,0.03888888888888888,-0.005555555555555555,0.08333333333333331,-0.11877488509584606,-0.14910038767350894,-0.09097650773298849
200,arm_shift,1,original,60,180,-0.011111111111111108,-0.07222222222222222,0.049999999999999996,0.07263836890181148,-0.0031256700051779294,0.15596757689502808
200,arm_shift,1,repeat_initial,60,180,-0.011111111111111108,-0.07222222222222222,0.05,0.07263836890181148,-0.008179920434788402,0.1540244380147909
200,arm_shift,1,switch_on_failure,60,180,-0.011111111111111108,-0.07222222222222222,0.05,0.07263836890181148,-0.003757725774529769,0.15411947902175616
200,arm_shift,2,ewma,60,180,0.09444444444444443,0.03333333333333333,0.1611111111111111,-0.2385317808585025,-0.3224201511160893,-0.16577460630747992
200,arm_shift,2,original,60,180,-0.005555555555555561,-0.06666666666666667,0.055555555555555566,0.1557395865871937,0.008393520828591258,0.30638571200810183
200,arm_shift,2,repeat_initial,60,180,-0.016666666666666663,-0.08333333333333331,0.05,0.11660210780539067,-0.05864966776508416,0.30001303060752643
200,arm_shift,2,switch_on_failure,60,180,-0.016666666666666666,-0.04444444444444444,0.01111111111111111,0.14322291118302893,-0.050481823093737235,0.33105056792981014
200,arm_shift,3,ewma,60,180,0.12222222222222222,0.05555555555555556,0.18888888888888886,-0.42142560782113014,-0.5719811597350107,-0.2758867084524148
200,arm_shift,3,original,60,180,-0.0055555555555555575,-0.07222222222222222,0.05555555555555556,0.21371650932611885,0.003260263120397682,0.4467208276781741
200,arm_shift,3,repeat_initial,60,180,-0.03333333333333333,-0.09999999999999999,0.03333333333333331,0.1585400266201096,-0.13572294551882377,0.45092581159413997
200,arm_shift,3,switch_on_failure,60,180,-0.03888888888888888,-0.08333333333333331,9.483155002005283e-19,0.12428403656572322,-0.08589847848855217,0.3506403501496873
